trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.001, 'e': 0.7835285948504935}",20,0,-125.59403754428048,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
107,False,"{'a': 0.001, 'e': 0.7829691355036601}",25,0,-125.01451215907626,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
108,False,"{'a': 0.001, 'e': 0.7824096022585251}",30,0,-172.11294507172832,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
109,False,"{'a': 0.001, 'e': 0.7818499969053532}",35,0,-127.24097843049098,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
110,False,"{'a': 0.001, 'e': 0.7812903212283459}",20,3,3.936547357813552,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.001, 'e': 0.7807305770056567}",30,8,-61.647840960950845,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 0}",1
112,False,"{'a': 0.001, 'e': 0.7801707660094064}",20,0,-68.11534801051525,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
113,False,"{'a': 0.001, 'e': 0.7796108900056961}",20,0,-34.18577703043185,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
114,False,"{'a': 0.001, 'e': 0.7790509507546237}",20,0,-40.36879390664393,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.001, 'e': 0.7784909500102973}",20,0,-57.5214020734303,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
116,False,"{'a': 0.001, 'e': 0.7779308895208508}",20,8,-49.96398067081111,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 0}",1
117,False,"{'a': 0.001, 'e': 0.7773707710284574}",20,0,-146.36825776685356,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
118,False,"{'a': 0.001, 'e': 0.776810596269345}",30,0,-183.725641824889,"{0: 15, 1: 2, 2: 9, 3: 3, 4: 1}",0
119,False,"{'a': 0.001, 'e': 0.7762503669738109}",20,0,-90.70203645684667,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
120,False,"{'a': 0.001, 'e': 0.7756900848662354}",25,3,-75.10847658728552,"{0: 13, 1: 6, 2: 2, 3: 0, 4: 1}",1
121,False,"{'a': 0.001, 'e': 0.7751297516650971}",30,0,-174.4361574920581,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
122,False,"{'a': 0.001, 'e': 0.7745693690829875}",25,1,-100.3098664231252,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 1}",1
123,False,"{'a': 0.001, 'e': 0.7740089388266247}",25,0,-126.64561524673792,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
124,False,"{'a': 0.001, 'e': 0.7734484625968686}",20,0,-207.48922904171346,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
125,False,"{'a': 0.001, 'e': 0.7728879420887349}",25,13,-45.2376414982123,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.001, 'e': 0.7723273789914097}",20,0,-36.87750670909832,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
127,False,"{'a': 0.001, 'e': 0.7717667749882638}",20,10,-4.4627131619670095,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.001, 'e': 0.7712061317568673}",25,0,-34.64545756643723,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
129,False,"{'a': 0.001, 'e': 0.7706454509690034}",20,0,-51.82975942211611,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
130,False,"{'a': 0.001, 'e': 0.7700847342906834}",20,7,-57.897522289812954,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
131,False,"{'a': 0.001, 'e': 0.7695239833821602}",25,0,-129.27225340858962,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
132,False,"{'a': 0.001, 'e': 0.7689631998979436}",20,4,-8.21944830948753,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.001, 'e': 0.7684023854868136}",20,0,-71.68682343945055,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
134,False,"{'a': 0.001, 'e': 0.7678415417918351}",35,5,-215.4782374187691,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",1
135,False,"{'a': 0.001, 'e': 0.7672806704503718}",30,0,-53.56608771426042,"{0: 22, 1: 4, 2: 2, 3: 2, 4: 0}",0
136,False,"{'a': 0.001, 'e': 0.7667197730941012}",20,0,-80.88399465964159,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
137,False,"{'a': 0.001, 'e': 0.7661588513490276}",25,16,-26.62974739884441,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.001, 'e': 0.7655979068354969}",20,0,-55.00778013163955,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
139,False,"{'a': 0.001, 'e': 0.7650369411682107}",30,0,-93.65080538498758,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
140,False,"{'a': 0.001, 'e': 0.7644759559562403}",30,0,-55.48773246069395,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
141,False,"{'a': 0.001, 'e': 0.763914952803041}",25,5,-78.79017761792633,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
142,False,"{'a': 0.001, 'e': 0.7633539333064654}",30,0,-138.515315092168,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
143,False,"{'a': 0.001, 'e': 0.7627928990587787}",30,8,-64.73127603147748,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 1}",1
144,False,"{'a': 0.001, 'e': 0.7622318516466711}",25,0,-70.76628058842529,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
145,False,"{'a': 0.001, 'e': 0.7616707926512732}",35,0,-304.93752757888575,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 7}",0
146,False,"{'a': 0.001, 'e': 0.7611097236481696}",35,0,-67.33240775774726,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
147,False,"{'a': 0.001, 'e': 0.7605486462074122}",25,7,-29.994305590848455,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
148,False,"{'a': 0.001, 'e': 0.7599875618935346}",20,3,-44.58373926079955,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
149,False,"{'a': 0.001, 'e': 0.7594264722655659}",20,0,-19.3918057140656,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
150,False,"{'a': 0.001, 'e': 0.7588653788770451}",20,0,-42.58969265836444,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
151,False,"{'a': 0.001, 'e': 0.7583042832760339}",25,0,-167.12961744697324,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
152,False,"{'a': 0.001, 'e': 0.7577431870051314}",25,0,-45.24753726458251,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",1
153,False,"{'a': 0.001, 'e': 0.7571820916014873}",30,10,-42.752518699345046,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",1
154,False,"{'a': 0.001, 'e': 0.7566209985968164}",20,8,-34.338378249266654,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.001, 'e': 0.7560599095174113}",25,15,-26.790400661069093,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.001, 'e': 0.7554988258841572}",30,0,-29.265111147742726,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
157,False,"{'a': 0.001, 'e': 0.7549377492125451}",20,0,-71.8582467320667,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
158,False,"{'a': 0.001, 'e': 0.7543766810126853}",25,11,-38.85736157118791,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 0}",1
159,False,"{'a': 0.001, 'e': 0.7538156227893215}",25,0,-77.76587845110382,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
160,False,"{'a': 0.001, 'e': 0.7532545760418442}",25,18,-8.511264417085968,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.001, 'e': 0.7526935422643041}",25,0,-129.85009111161276,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
162,False,"{'a': 0.001, 'e': 0.7521325229454263}",25,0,-74.4364204410136,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
163,False,"{'a': 0.001, 'e': 0.7515715195686233}",20,0,-67.80252153178614,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
164,False,"{'a': 0.001, 'e': 0.7510105336120088}",20,0,-27.14510181356382,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
165,False,"{'a': 0.001, 'e': 0.7504495665484111}",25,0,-80.42154782355657,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
166,False,"{'a': 0.001, 'e': 0.7498886198453869}",20,2,-21.068687355336017,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
167,False,"{'a': 0.001, 'e': 0.7493276949652341}",30,0,-159.79479761082294,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
168,False,"{'a': 0.001, 'e': 0.7487667933650062}",20,0,-104.82017902366502,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
169,False,"{'a': 0.001, 'e': 0.748205916496525}",20,14,-25.192454668494833,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.001, 'e': 0.7476450658063942}",20,0,7.526912774677202,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.001, 'e': 0.7470842427360128}",35,0,-168.099532884633,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
172,False,"{'a': 0.001, 'e': 0.7465234487215887}",20,0,-73.76592191239907,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
173,False,"{'a': 0.001, 'e': 0.7459626851941518}",25,8,-59.477231244868534,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
174,False,"{'a': 0.001, 'e': 0.7454019535795668}",20,8,-71.39867837357511,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
175,False,"{'a': 0.001, 'e': 0.7448412552985478}",30,0,-35.932009486425784,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",1
176,False,"{'a': 0.001, 'e': 0.7442805917666705}",30,12,-95.25723631161942,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
177,False,"{'a': 0.001, 'e': 0.7437199643943855}",30,3,-106.33391322502442,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 2}",1
178,False,"{'a': 0.001, 'e': 0.7431593745870319}",30,0,-101.26843894476971,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
179,False,"{'a': 0.001, 'e': 0.7425988237448504}",20,0,-150.67918394549088,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
180,False,"{'a': 0.001, 'e': 0.7420383132629965}",20,0,-54.83951968386979,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.001, 'e': 0.7414778445315536}",25,0,0.6248859226009049,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.001, 'e': 0.7409174189355459}",30,23,1.3965408889940916,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
